symbol,entry_date,exit_date,entry,exit,qty,pnl,ret_pct,r_mult,hold,reason
CAPLIPOINT,2022-08-04,2022-08-22,825.659,779.4,218,-10509.235000000015,-5.83866947492852,-0.47777975995797844,10,ema_close
NFL,2022-08-05,2022-08-23,51.528499999999994,47.0,3197,-14853.261999999959,-9.016369581881847,-0.7376359450662839,10,ema_close
DEVYANI,2022-08-02,2022-08-24,179.39737499999998,187.7,1001,7841.2083750000165,4.366493656888802,0.3572418039094977,14,ema_close
APLAPOLLO,2022-08-05,2022-08-29,1055.4319999999998,957.9,167,-16687.767249999975,-9.467852973948096,-0.7747941413640173,14,ema_close
TNPL,2022-08-04,2022-09-13,239.5975,247.9,751,5769.745250000007,3.2065234403530964,0.2624114080778758,25,ema_close
SBILIFE,2022-08-02,2022-09-16,1297.636,1289.0,138,-1636.472999999969,-0.9138541162544641,-0.07478589357112984,30,ema_close
JKPAPER,2022-08-02,2022-09-19,370.47387499999996,409.2,484,18248.31250000003,10.17699966023247,0.8327788376850906,31,ema_close
BHEL,2022-08-29,2022-09-19,56.14,59.55,3035,9897.514375000028,5.808915211970091,0.47538265306122585,14,ema_close
SCHAEFFLER,2022-08-03,2022-09-21,2787.45125,3330.0,64,34190.32000000001,19.165312756590815,1.5684266153863098,32,ema_close
KEI,2022-08-05,2022-09-26,1392.723125,1436.0,127,5040.233124999999,2.849588284103489,0.23320100039295896,33,ema_close
ZENTEC,2022-08-23,2022-09-26,203.25687499999998,197.7,738,-4465.730249999964,-2.9770825710077222,-0.24363471652532592,23,ema_close
HAL,2022-09-13,2022-09-26,1310.2675,1150.16,141,-22980.588900000002,-12.438902743142148,-1.0179591836734705,9,stop
ACC,2022-09-16,2022-09-26,2750.0579999999995,2460.0,64,-18957.311999999976,-10.770972830391203,-0.8814455077846028,6,ema_close
FORCEMOT,2022-08-22,2022-09-27,1235.08,1224.05,137,-1930.3471249999711,-1.140826909997716,-0.09336154916511928,25,ema_close
