"Sr.","Stock Name","Symbol","close","%_change","volume","Add Column"
179,"Shankara Building Products","SHANKARA","148.05","-0.24%","62,130",""
180,"Sundram Fasteners Limited","SUNDRMFAST","1,252.9","-0.25%","1,10,291",""
181,"Kabra Extrusion Technik Limited","KABRAEXTRU","705.7","-0.26%","4,00,576",""
182,"KRN Heat Exchanger and Refrigeration Ltd","KRN","1,580.1","-0.28%","1,50,985",""
183,"Aeroflex Industries Ltd","AEROFLEX","562.6","-0.28%","8,96,237",""
184,"R R Kabel Ltd","RRKABEL","2,429.8","-0.3%","2,63,528",""
185,"Man Industries (india) Limited","MANINDS","873.7","-0.31%","42,02,244",""
186,"Gujarat Kidney & Super Speciality Ltd","GKSL","172.69","-0.31%","55,724",""
187,"Dhampur Sugar Mills Limited","DHAMPURSUG","165.81","-0.31%","4,89,270",""
188,"Piramal Pharma Ltd","PPLPHARMA","211.8","-0.32%","29,46,008",""
189,"Artemis Medicare Services Ltd","ARTEMISMED","347","-0.44%","3,19,064",""
190,"Hind Rectifiers Limited","HIRECT","1,243.1","-0.46%","42,526",""
191,"Shalimar Paints Limited","SHALPAINTS","85.05","-0.46%","1,17,721",""
192,"Paushak Ltd","PAUSHAKLTD","730.3","-0.51%","42,664",""
193,"Century Enka Limited","CENTENKA","566","-0.54%","53,041",""
194,"KSH International Ltd","KSHINTL","1,167.75","-0.56%","2,26,687",""
195,"Marksans Pharma Limited","MARKSANS","328.5","-0.58%","13,78,709",""
196,"Balrampur Chini Mills Limited","BALRAMCHIN","701","-0.59%","10,64,983",""
197,"Centum Electronics Limited","CENTUM","4,185","-0.6%","22,533",""
198,"J.G.Chemicals Ltd","JGCHEM","591.25","-0.63%","2,91,086",""
199,"Rain Industries Limited","RAIN","215.88","-0.64%","39,08,751",""
200,"Syrma SGS Technology Ltd","SYRMA","1,588.4","-0.65%","5,40,183",""
201,"Sun Pharma Advanced Research Company Limited","SPARC","195.64","-0.65%","3,75,600",""
202,"Apcotex Industries Limited","APCOTEXIND","599.7","-0.68%","76,596",""
203,"Manali Petrochemicals Limited","MANALIPETC","85.68","-0.68%","17,93,750",""
204,"Nupur Recyclers Ltd","NRL","133.9","-0.7%","37,382",""
205,"GHCL Textiles Ltd","GHCLTEXTIL","131.61","-0.7%","3,93,634",""
206,"Neuland Laboratories Limited","NEULANDLAB","23,615","-0.78%","35,202",""
207,"Ador Welding Ltd","ADOR","1,610.6","-0.79%","24,658",""
208,"Quess Corp Limited","QUESS","352.3","-0.79%","2,42,974",""
209,"Dolphin Offshore Enterprises (India) Ltd","DOLPHIN","648.75","-0.8%","56,897",""
210,"Sheela Foam Limited","SFL","692.2","-0.82%","1,91,678",""
211,"Deep Industries Ltd","DEEPINDS","776.25","-0.84%","4,66,451",""
212,"Sudarshan Chemical Industries Limited","SUDARSCHEM","1,260","-0.85%","2,60,103",""
213,"Honasa Consumer Ltd","HONASA","471.55","-0.86%","4,86,806",""
214,"Nrb Bearing Limited","NRBBEARING","511.3","-0.9%","5,82,322",""
215,"Gland Pharma Ltd","GLAND","2,920","-0.91%","2,85,636",""
216,"Nilkamal Limited","NILKAMAL","2,058.2","-0.92%","22,069",""
217,"Asian Hotels (north) Limited","ASIANHOTNR","378.55","-0.94%","15,162",""
218,"Tourism Finance Corporation Of India Limited","TFCILTD","141.82","-0.94%","45,99,715",""
219,"Manomay Tex India Ltd","MANOMAY","232.59","-0.97%","52,856",""
220,"Kamdhenu Limited","KAMDHENU","38.84","-0.97%","7,03,793",""
221,"Shanthi Gears Limited","SHANTIGEAR","718.25","-0.99%","1,20,749",""
222,"Prabha Energy Ltd","PRABHA","245","-1.04%","7,59,637",""
223,"Paramount Communications Limited","PARACABLES","65","-1.05%","13,47,446",""
224,"GMM Pfaudler Ltd","GMMPFAUDLR","1,304.9","-1.08%","1,82,467",""
225,"Nazara Technologies Ltd","NAZARA","370.5","-1.11%","8,85,472",""
226,"IKIO Lighting Ltd","IKIO","229.15","-1.11%","12,71,527",""
227,"Caplin Point Laboratories Limited","CAPLIPOINT","2,764","-1.12%","88,037",""
228,"Ganesh Benzoplast Ltd","GANESHBE","131.85","-1.12%","98,126",""
229,"Astra Microwave Products Limited","ASTRAMICRO","1,677.5","-1.14%","1,56,658",""
230,"Supriya Lifescience Ltd","SUPRIYA","907","-1.14%","1,47,943",""
231,"Varroc Engineering Ltd","VARROC","874.35","-1.14%","4,09,792",""
232,"Lenskart Solutions Ltd","LENSKART","685.3","-1.15%","31,95,653",""
233,"Kamat Hotels (i) Limited","KAMATHOTEL","222.1","-1.15%","23,157",""
234,"HFCL Ltd","HFCL","230.59","-1.17%","75,71,713",""
235,"IIFL Finance Ltd","IIFL","600.4","-1.19%","19,79,830",""
236,"Divi's Laboratories Limited","DIVISLAB","9,322.5","-1.23%","4,55,467",""
237,"Sportking India Ltd","SPORTKING","213.17","-1.23%","1,34,713",""
238,"Speciality Restaurants Limited","SPECIALITY","140.01","-1.23%","26,540",""
239,"Astec Lifesciences Limited","ASTEC","706.95","-1.24%","62,398",""
240,"Bhansali Engineering Polymers Limited","BEPL","128.66","-1.25%","9,40,963",""
241,"Visaka Industries Limited","VISAKAIND","90.75","-1.26%","1,06,255",""
242,"Iris Clothings Ltd","IRISDOREME","61.5","-1.27%","3,88,008",""
243,"Tirupati Forge Ltd","TIRUPATIFL","69.58","-1.28%","1,07,433",""
244,"Sudeep Pharma Ltd","SUDEEPPHRM","1,197.8","-1.29%","5,47,927",""
245,"Man Infraconstruction Limited","MANINFRA","127","-1.29%","16,69,039",""
246,"Knowledge Marine & Engineering Works Ltd","KMEW","2,877.4","-1.31%","81,843",""
247,"Shivalik Rasayan Ltd","SHIVALIK","362","-1.31%","1,02,159",""
248,"Craftsman Automation Ltd","CRAFTSMAN","11,695","-1.32%","45,115",""
249,"Wockhardt Limited","WOCKPHARMA","2,191.4","-1.32%","9,52,572",""
250,"Welspun Living Ltd","WELSPUNLIV","207.72","-1.32%","20,73,456",""
251,"Welspun Enterprises Limited","WELENT","787.35","-1.33%","2,00,195",""
252,"Gretex Corporate Services Ltd","GCSL","606.5","-1.35%","2,63,538",""
253,"Shadowfax Technologies Ltd","SHADOWFAX","251.65","-1.35%","14,84,195",""
254,"FERMENTA","FERMENTA","477","-1.38%","40,991",""
255,"Suraksha Diagnostic Ltd","SURAKSHA","323.25","-1.4%","41,452",""
256,"Ritco Logistics Ltd","RITCO","301.05","-1.41%","37,319",""
257,"Jyoti CNC Automation Ltd","JYOTICNC","989.55","-1.43%","5,76,874",""
258,"Bhagyanagar India","BHAGYANGR","426","-1.43%","4,95,806",""
259,"Shreeji Shipping Global Ltd","SHREEJISPG","702.7","-1.46%","7,46,470",""
260,"Jindal Saw Limited","JINDALSAW","312.85","-1.46%","15,83,013",""
261,"Paras Defence and Space Technologies Ltd","PARAS","1,431.6","-1.49%","5,88,732",""
262,"Radhika Jeweltech Ltd","RADHIKAJWE","82.9","-1.49%","12,82,572",""
263,"SAL Steel","SALSTEEL","75.48","-1.5%","3,15,599",""
264,"Manorama Industries Ltd","MANORAMA","2,053.6","-1.51%","95,744",""
265,"Mukka Proteins Ltd","MUKKA","30.1","-1.54%","7,67,544",""
266,"Niit Limited","NIITLTD","92.59","-1.59%","1,76,513",""
267,"Fineotex Chemical Limited","FCL","57.76","-1.62%","2,10,86,104",""
268,"Welspun Specialty Solutions Ltd","WELSPLSOL","55.5","-1.63%","4,50,844",""
269,"Kirloskar Oil Engines Limited","KIRLOSENG","2,172.8","-1.64%","2,62,733",""
270,"Sanghvi Movers Limited","SANGHVIMOV","426.8","-1.69%","2,11,044",""
271,"Orchid Pharma Ltd","ORCHPHARMA","998.6","-1.72%","59,862",""
272,"Cyient DLM Ltd","CYIENTDLM","907.4","-1.72%","4,38,377",""
273,"Panama Petrochem Limited","PANAMAPET","483.15","-1.73%","1,56,229",""
274,"SG Mart Ltd","SGMART","753.1","-1.75%","1,28,299",""
275,"OCCL Ltd","OCCLLTD","161","-1.78%","43,765",""
276,"United Foodbrands Ltd","UFBL","700","-1.8%","13,570",""
277,"Radico Khaitan Limited","RADICO","4,376.9","-1.86%","79,459",""
278,"Suven Life Sciences Limited","SUVEN","353.95","-1.87%","2,91,467",""
279,"Sona BLW Precision Forgings Ltd","SONACOMS","788.1","-1.92%","6,62,846",""
280,"Innova Captab Ltd","INNOVACAP","1,144.8","-1.94%","37,405",""
281,"Modison Ltd","MODISONLTD","504.8","-1.94%","60,995",""
282,"Tarsons Products Ltd","TARSONS","311.4","-1.97%","1,44,918",""
283,"ESAF Small Finance Bank Ltd","ESAFSFB","39.59","-1.98%","4,29,964",""
284,"India Nippon Electricals Limited","INDNIPPON","1,341.6","-2%","2,31,220",""
285,"Avadh Sugar & Energy","AVADHSUGAR","778.55","-2%","1,34,949",""
286,"Happy Forgings Ltd","HAPPYFORGE","2,188.2","-2.02%","47,487",""
287,"Premier Polyfilm Limited","PREMIERPOL","86.21","-2.02%","1,92,310",""
288,"Inox India Ltd","INOXINDIA","2,249","-2.04%","2,12,542",""
289,"Krishana Phoschem Ltd","KRISHANA","179.76","-2.04%","1,91,281",""
290,"Capri Global Capital Limited","CGCL","266.65","-2.06%","16,73,794",""
291,"Vishnu Prakash R Punglia Ltd","VPRPL","36.35","-2.07%","2,68,343",""
292,"Kalyan Jewellers India Ltd","KALYANKJIL","602.3","-2.1%","56,22,735",""
293,"Ramco Systems Limited","RAMCOSYS","597.8","-2.1%","27,920",""
294,"Mayur Uniquoters Ltd","MAYURUNIQ","740.4","-2.13%","66,341",""
295,"Electronics Mart India Ltd","EMIL","187.69","-2.15%","17,85,758",""
296,"Leela Palaces Hotels & Resorts Ltd","THELEELA","541.85","-2.22%","2,48,519",""
297,"Chennai Petroleum Corporation Limited","CHENNPETRO","1,589.5","-2.27%","25,39,817",""
298,"Scan Steels Ltd","SCANSTL","56.49","-2.3%","17,219",""
299,"DEE Development Engineers Ltd","DEEDEV","638.35","-2.31%","1,47,091",""
300,"OMNI","OMNI","550","-2.37%","4,83,609",""
301,"Menon Bearings Limited","MENONBE","294.45","-2.39%","44,548",""
302,"Skm Egg Products Export (india) Limited","SKMEGGPROD","241.95","-2.4%","1,19,868",""
303,"Univastu India Ltd","UNIVASTU","156.39","-2.44%","55,282",""
304,"Tamilnadu Petroproducts Limited","TNPETRO","129.81","-2.5%","51,47,446",""
305,"Zim Laboratories Ltd","ZIMLAB","133","-2.51%","58,978",""
306,"Uflex Limited","UFLEX","655.65","-2.52%","1,60,331",""
307,"Mold-tek Technologies Limited","MOLDTECH","206","-2.69%","38,369",""
308,"Stove Kraft Ltd","STOVEKRAFT","817.35","-2.7%","83,839",""
309,"BLS E-Services Ltd","BLSE","308","-2.72%","2,47,740",""
310,"Balaji Amines Limited","BALAMINES","2,278.3","-2.74%","1,51,642",""
311,"Quality Power Electrical Equipments Ltd","QPOWER","1,418.1","-2.75%","3,09,566",""
312,"Pvp Ventures Limited","PVP","64.26","-2.78%","9,69,765",""
313,"Shivalik Bimetal Controls Ltd","SBCL","1,080.4","-2.84%","1,34,277",""
314,"Emami Paper Mills Ltd","EMAMIPAP","114.4","-2.84%","13,386",""
315,"Aarnav Fashions Ltd","AARNAV","30.41","-2.87%","9,247",""
316,"Mps Limited","MPSLTD","2,626.4","-2.94%","20,910",""
317,"Welspun Corp Limited","WELCORP","2,694.9","-2.95%","9,70,279",""
318,"Huhtamaki India Ltd","HUHTAMAKI","254.1","-3.03%","1,88,379",""
319,"Rane (madras) Limited","RML","1,362.9","-3.27%","57,789",""
